wl	n
4.1322	0.018
4.1494	0.019
4.1667	0.019
4.1841	0.019
4.2017	0.018
4.2194	0.018
4.2373	0.018
4.2553	0.020
4.2735	0.020
4.2918	0.019
4.3103	0.021
4.3290	0.021
4.3478	0.017
4.3668	0.018
4.3860	0.019
4.4053	0.019
4.4248	0.019
4.4444	0.020
4.4643	0.019
4.4843	0.020
4.5045	0.018
4.5249	0.020
4.5455	0.019
4.5662	0.020
4.5872	0.020
4.6083	0.021
4.6296	0.021
4.6512	0.019
4.6729	0.021
4.6948	0.020
4.7170	0.020
4.7393	0.019
4.7619	0.021
4.7847	0.018
4.8077	0.021
4.8309	0.020
4.8544	0.018
4.8780	0.020
4.9020	0.022
4.9261	0.019
4.9505	0.020
4.9751	0.020
5.0000	0.021
5.0251	0.019
5.0505	0.019
5.0761	0.022
5.1020	0.022
5.1282	0.020
5.1546	0.022
5.1813	0.022
5.2083	0.022
5.2356	0.019
5.2632	0.023
5.2910	0.022
5.3191	0.024
5.3476	0.022
5.3763	0.021
5.4054	0.025
5.4348	0.027
5.4645	0.042
5.4945	0.059
5.5249	0.057
5.5556	0.044
5.5866	0.040
5.6180	0.034
5.6497	0.033
5.6818	0.030
5.7143	0.032
5.7471	0.031
5.7803	0.032
5.8140	0.032
5.8480	0.038
5.8824	0.034
5.9172	0.033
5.9524	0.038
5.9880	0.038
6.0241	0.050
6.0606	0.050
6.0976	0.051
6.1350	0.054
6.1728	0.060
6.2112	0.072
6.2500	0.083
6.2893	0.089
6.3291	0.105
6.3694	0.296
6.4103	0.551
6.4516	0.750
6.4935	0.931
6.5359	1.107
6.5789	1.286
6.6225	1.478
6.6667	1.689
6.7114	1.925
6.7568	2.202
6.8027	2.546
6.8493	2.979
6.8966	3.492
6.9444	4.250
6.9930	5.709
7.0423	3.793
7.0922	1.022
7.1429	0.351
7.1942	0.150
7.2464	0.095
7.2993	0.054
7.3529	0.029
7.4074	0.024
7.4627	0.024
7.5188	0.017
7.5758	0.017
7.6336	0.018
7.6923	0.017
7.7519	0.015
7.8125	0.014
7.8740	0.012
7.9365	0.017
8.0000	0.015
8.0645	0.016
8.1301	0.018
8.1967	0.015
8.2645	0.013
8.3333	0.016
8.4034	0.016
8.4746	0.014
8.5470	0.010
8.6207	0.012
8.6957	0.011
8.7719	0.011
8.8496	0.011
8.9286	0.011
9.0090	0.012
9.0909	0.010
9.1743	0.010
9.2593	0.009
9.3458	0.008
9.4340	0.007
9.5238	0.008
9.6154	0.006
9.7087	0.008
9.8039	0.007
9.9010	0.005
10.0000	0.004
10.1010	0.005
10.2041	0.006
10.3093	0.004
10.4167	0.005
10.5263	0.005
10.6383	0.007
10.7527	0.005
10.8696	0.005
10.9890	0.005
11.1111	0.007
11.2360	0.008
11.3636	0.009
11.4943	0.004
11.6279	0.004
11.7647	0.004
11.9048	0.004
12.0482	0.005
12.1951	0.004
12.3457	0.008
12.5000	0.009
12.6582	0.010
12.8205	0.011
12.9870	0.011
13.1579	0.017
13.3333	0.026
13.5135	0.100
13.6986	0.426
13.8889	0.029
14.0845	0.008
14.2857	0.008
14.4928	0.012
14.7059	0.011
14.9254	0.012
15.1515	0.016
15.3846	0.019
15.6250	0.019
15.8730	0.016
16.1290	0.018
16.3934	0.021
16.6667	0.018
16.9492	0.023
17.2414	0.024
17.5439	0.028
17.8571	0.033
18.1818	0.042
18.5185	0.049
