wl	n
8.200E-001	1.430E-007
8.300E-001	1.450E-007
8.400E-001	1.510E-007
8.500E-001	1.830E-007
8.600E-001	2.150E-007
8.700E-001	2.650E-007
8.800E-001	3.350E-007
8.900E-001	3.920E-007
9.000E-001	4.200E-007
9.100E-001	4.440E-007
9.200E-001	4.740E-007
9.300E-001	5.110E-007
9.400E-001	5.530E-007
9.500E-001	6.020E-007
9.600E-001	7.550E-007
9.700E-001	9.260E-007
9.800E-001	1.120E-006
9.900E-001	1.330E-006
1.000E+000	1.620E-006
1.010E+000	2.000E-006
1.020E+000	2.250E-006
1.030E+000	2.330E-006
1.040E+000	2.330E-006
1.050E+000	2.170E-006
1.060E+000	1.960E-006
1.070E+000	1.810E-006
1.080E+000	1.740E-006
1.090E+000	1.730E-006
1.100E+000	1.700E-006
1.110E+000	1.760E-006
1.120E+000	1.820E-006
1.130E+000	2.040E-006
1.140E+000	2.250E-006
1.150E+000	2.290E-006
1.160E+000	3.040E-006
1.170E+000	3.840E-006
1.180E+000	4.770E-006
1.190E+000	5.760E-006
1.200E+000	6.710E-006
1.210E+000	8.660E-006
1.220E+000	1.020E-005
1.230E+000	1.130E-005
1.240E+000	1.220E-005
1.250E+000	1.290E-005
1.260E+000	1.320E-005
1.270E+000	1.350E-005
1.280E+000	1.330E-005
1.290E+000	1.320E-005
1.300E+000	1.320E-005
1.310E+000	1.310E-005
1.320E+000	1.320E-005
1.330E+000	1.320E-005
1.340E+000	1.340E-005
1.350E+000	1.390E-005
1.360E+000	1.420E-005
1.370E+000	1.480E-005
1.380E+000	1.580E-005
1.390E+000	1.740E-005
1.400E+000	1.980E-005
1.410E+000	3.442E-005
1.420E+000	5.959E-005
1.430E+000	1.028E-004
1.440E+000	1.516E-004
1.449E+000	2.030E-004
1.460E+000	2.942E-004
1.471E+000	3.987E-004
1.481E+000	4.941E-004
1.493E+000	5.532E-004
1.504E+000	5.373E-004
1.515E+000	5.143E-004
1.527E+000	4.908E-004
1.538E+000	4.594E-004
1.563E+000	3.858E-004
1.587E+000	3.105E-004
1.613E+000	2.659E-004
1.650E+000	2.361E-004
1.680E+000	2.046E-004
1.700E+000	1.875E-004
1.730E+000	1.650E-004
1.760E+000	1.522E-004
1.800E+000	1.411E-004
1.830E+000	1.302E-004
1.840E+000	1.310E-004
1.850E+000	1.339E-004
1.855E+000	1.377E-004
1.860E+000	1.432E-004
1.870E+000	1.632E-004
1.890E+000	2.566E-004
1.905E+000	4.081E-004
1.923E+000	7.060E-004
1.942E+000	1.108E-003
1.961E+000	1.442E-003
1.980E+000	1.614E-003
2.000E+000	1.640E-003
2.020E+000	1.566E-003
2.041E+000	1.458E-003
2.062E+000	1.267E-003
2.083E+000	1.023E-003
2.105E+000	7.586E-004
2.130E+000	5.255E-004
2.150E+000	4.025E-004
2.170E+000	3.235E-004
2.190E+000	2.707E-004
2.220E+000	2.228E-004
2.240E+000	2.037E-004
2.245E+000	2.026E-004
2.250E+000	2.035E-004
2.260E+000	2.078E-004
2.270E+000	2.171E-004
2.290E+000	2.538E-004
2.310E+000	3.138E-004
2.330E+000	3.858E-004
2.350E+000	4.591E-004
2.370E+000	5.187E-004
2.390E+000	5.605E-004
2.410E+000	5.956E-004
2.430E+000	6.259E-004
2.460E+000	6.820E-004
2.500E+000	7.530E-004
2.520E+000	7.685E-004
2.550E+000	7.647E-004
2.565E+000	7.473E-004
2.580E+000	7.392E-004
2.590E+000	7.437E-004
2.600E+000	7.543E-004
2.620E+000	8.059E-004
2.675E+000	1.367E-003
2.725E+000	3.508E-003
2.778E+000	1.346E-002
2.817E+000	3.245E-002
2.833E+000	4.572E-002
2.849E+000	6.287E-002
2.865E+000	8.548E-002
2.882E+000	1.198E-001
2.899E+000	1.690E-001
2.915E+000	2.210E-001
2.933E+000	2.760E-001
2.950E+000	3.120E-001
2.967E+000	3.470E-001
2.985E+000	3.880E-001
3.003E+000	4.380E-001
3.021E+000	4.930E-001
3.040E+000	5.540E-001
3.058E+000	6.120E-001
3.077E+000	6.250E-001
3.096E+000	5.930E-001
3.115E+000	5.390E-001
3.135E+000	4.910E-001
3.155E+000	4.380E-001
3.175E+000	3.720E-001
3.195E+000	3.000E-001
