ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
283.0058087,62.0346796,0.6767,0.5867,0.0734,15.983,0.193,5.6,1.126E+00,15.017,null,1.2,5.980E-01,1,0,0000,BU,5,59153.89474497,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.915145,237.746344
283.0055711,62.0349008,1.3989,1.1048,-0.1535,16.764,0.474,2.3,4.623E-01,14.416,null,1.7,5.211E-01,1,0,0000,CU,10,57526.23081431,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.930861,250.794935
283.0056425,62.0347775,1.2894,1.0809,-0.1572,16.901,0.469,2.3,8.978E-01,15.427,0.436,2.5,5.313E-01,1,0,0000,CC,5,57886.74640139,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,3.989535,244.190887
283.0060391,62.0344933,0.9677,1.0963,-0.5129,16.066,0.295,3.7,6.128E-01,15.085,null,0.4,4.383E-01,1,0,0000,BU,10,57891.19851729,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.019526,226.633039
283.0061887,62.0344108,0.7218,0.6343,0.1043,15.832,0.193,5.6,1.237E+00,15.213,null,-0.2,7.836E-01,1,0,0000,BU,10,57887.00833550,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.058594,221.128349
283.0060242,62.0344817,0.5351,0.4924,-0.1689,15.858,0.180,6.0,8.347E-01,15.004,0.286,3.8,4.426E-01,1,0,0000,BB,10,57887.66297966,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.066508,226.448680
283.0055231,62.0348202,0.9046,0.7342,-0.3456,15.882,0.313,3.5,9.689E-01,15.445,0.511,2.1,1.078E+00,1,0,0000,BC,5,58621.70157274,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.110289,247.344883
283.0058126,62.0345799,0.6002,0.4618,-0.1107,15.484,0.175,6.2,8.827E-01,15.022,null,0.9,7.163E-01,1,0,0000,BU,10,58989.17238920,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.112610,233.464699
283.0096038,62.0360350,2.1218,2.0735,-0.8659,16.420,null,1.5,1.342E+00,15.548,null,-0.2,7.713E-01,1,0,0000,UU,10,58418.54771581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.167409,47.972189
283.0061801,62.0343637,0.8066,0.6669,0.1435,16.039,0.217,5.0,1.619E+00,15.170,null,0.9,6.048E-01,1,0,0000,BU,10,57887.53207630,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.197070,219.755045
