ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6018533,25.3786371,0.0657,0.0540,-0.0173,12.435,0.023,47.5,1.208E+00,12.525,0.048,22.8,7.884E-01,1,0,0000,AA,10,57170.17434196,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.085289,194.806961
324.6018349,25.3786671,0.0672,0.0648,-0.0053,12.369,0.027,40.1,2.215E+00,12.476,0.050,21.6,1.086E+00,1,0,0000,AA,10,58068.60665941,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.085565,287.384434
324.6018375,25.3786476,0.0733,0.0651,-0.0048,12.411,0.028,39.0,1.181E+00,12.539,0.050,21.7,7.367E-01,1,0,0000,AA,10,58266.15604455,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.085730,238.617778
324.6018335,25.3786618,0.0599,0.0575,-0.0259,12.431,0.024,45.6,1.848E+00,12.441,0.051,21.4,2.860E-01,1,0,0000,AA,10,57345.63116933,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.086444,274.299400
324.6018446,25.3786399,0.0660,0.0714,-0.0354,12.439,0.027,40.8,1.795E+00,12.407,0.068,15.9,5.521E-01,1,0,0000,AA,10,57535.01890574,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.088014,214.692149
324.6018849,25.3786497,0.0662,0.0639,-0.0248,12.439,0.025,42.6,7.891E-01,12.410,0.050,21.5,6.112E-01,1,0,0000,AA,10,57901.81340596,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.089081,114.600115
324.6018800,25.3786428,0.0588,0.0579,-0.0171,12.400,0.024,45.4,2.436E+00,12.344,0.071,15.2,8.230E-01,1,0,0000,AA,5,57534.75684437,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.089820,133.587132
324.6018339,25.3786518,0.0584,0.0584,-0.0205,12.433,0.025,44.0,9.537E-01,12.438,0.044,24.5,7.034E-01,1,0,0000,AA,10,58796.87101796,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.089873,250.825687
324.6018494,25.3786366,0.0681,0.0649,-0.0210,12.467,0.028,39.0,5.611E-01,12.480,0.048,22.7,1.134E+00,1,0,0000,AA,10,57707.94911794,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.091022,202.258088
324.6018477,25.3786372,0.0628,0.0537,0.0119,12.422,0.023,47.2,1.300E+00,12.427,0.044,24.7,7.329E-01,1,0,0000,AA,10,56808.42745174,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.091333,205.985154
324.6018882,25.3786598,0.0664,0.0659,-0.0254,12.420,0.026,41.1,1.136E+00,12.603,0.058,18.9,8.297E-01,1,0,0000,AA,10,58266.09059281,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.091745,90.449742
324.6018400,25.3786420,0.0583,0.0571,-0.0184,12.397,0.024,45.1,1.767E+00,12.495,0.049,22.1,7.602E-01,1,0,0000,AA,10,58429.59860975,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.091797,225.111040
324.6018413,25.3786408,0.0626,0.0577,-0.0199,12.430,0.023,47.8,8.506E-01,12.559,0.051,21.5,3.351E-01,1,0,0000,AA,10,57170.89621993,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.092054,221.346701
324.6018322,25.3786539,0.0652,0.0671,-0.0098,12.432,0.030,35.8,1.397E+00,12.495,0.047,22.9,7.385E-01,1,0,0000,AA,10,58068.67211116,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.093074,256.349333
324.6018352,25.3786462,0.0654,0.0580,-0.0015,12.446,0.026,42.3,8.831E-01,12.416,0.046,23.8,1.016E+00,1,0,0000,AA,10,57348.97571111,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.094734,238.371595
