ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6126322,25.3736264,0.5957,0.4916,-0.2383,15.606,0.199,5.5,5.322E-01,15.357,0.460,2.4,3.353E-01,1,0,0000,BC,10,57534.36362771,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.946300,30.304984
324.6121452,25.3737744,0.5301,0.4594,-0.1352,15.546,0.182,6.0,9.749E-01,14.672,0.233,4.7,1.170E+00,1,0,0000,BB,10,56987.24575177,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.960832,5.901394
324.6121188,25.3737791,0.7438,0.7400,-0.3181,16.085,0.271,4.0,2.087E+00,14.792,0.495,2.2,5.359E-01,1,0,0000,BC,10,57535.01890574,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,3.969790,4.643371
324.6125078,25.3737047,0.5719,0.4987,-0.1877,15.681,0.170,6.4,1.702E+00,14.819,null,1.7,9.134E-01,1,0,0000,BU,10,57534.82229602,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.015680,23.273442
324.6122788,25.3737707,0.7676,0.6905,-0.1771,15.845,0.326,3.3,3.525E-01,15.074,0.343,3.2,4.052E-01,1,0,0000,BB,10,57707.62160396,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.015743,12.100407
324.6124866,25.3737128,0.4555,0.4566,-0.2233,15.593,0.175,6.2,5.533E-01,15.015,0.318,3.4,3.174E-01,1,0,0000,BB,10,58068.86859362,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.015919,22.205224
324.6123540,25.3737545,0.2775,0.2880,-0.1374,14.709,0.084,13.0,6.399E-01,14.622,0.247,4.4,1.541E+00,1,0,0000,AB,10,57171.15866316,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.017868,15.687701
324.6124929,25.3737116,0.3586,0.3663,-0.0949,15.248,0.129,8.4,1.187E+00,14.186,0.230,4.7,6.122E-01,1,0,0000,BB,10,57170.83064095,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.019716,22.498922
324.6124551,25.3737295,0.5037,0.4720,-0.1392,15.508,0.160,6.8,6.904E-01,15.256,0.527,2.1,5.441E-01,1,0,0000,BC,10,57538.09831758,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.034571,20.535173
324.6120690,25.3738008,0.5043,0.4883,-0.1666,15.719,0.185,5.9,1.571E+00,14.787,null,0.8,6.647E-01,1,0,0000,BU,10,58429.00967200,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.038026,2.262081
324.6122309,25.3737863,0.2957,0.2967,-0.1618,15.040,0.099,11.0,7.506E-01,14.972,0.284,3.8,8.326E-01,1,0,0000,AB,10,56809.54598628,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.041329,9.773020
324.6123986,25.3737522,0.6707,0.7105,-0.2597,16.097,0.313,3.5,7.527E-01,14.620,0.257,4.2,7.774E-01,1,0,0000,BB,10,57538.16376927,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.051609,17.694873
324.6124348,25.3737435,0.4072,0.3736,-0.0949,15.327,0.126,8.6,8.997E-01,14.610,0.251,4.3,4.503E-01,1,0,0000,BB,10,56987.57441153,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.059385,19.412811
324.6124495,25.3737455,0.3063,0.3168,-0.1489,15.216,0.121,9.0,6.206E-01,14.079,0.172,6.3,4.399E-01,1,0,0000,BB,10,57349.36905921,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.082292,20.012173
324.6123512,25.3737738,0.3989,0.3726,0.1176,15.277,0.133,8.2,4.601E-01,14.365,0.245,4.4,5.339E-01,1,0,0000,BB,10,56987.18004528,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.082390,15.300961
324.6126505,25.3736607,0.4159,0.3694,-0.1093,15.206,0.124,8.8,4.401E-01,14.758,0.292,3.7,6.844E-01,1,0,0000,BB,10,56987.31145828,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.082958,30.151769
324.6122194,25.3738032,0.5413,0.5180,-0.2579,15.763,0.165,6.6,7.018E-01,15.034,null,1.7,8.054E-01,1,0,0000,BU,10,57708.60414565,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.095208,9.112763
324.6122150,25.3738112,0.3789,0.3542,-0.0837,15.320,0.115,9.4,1.184E+00,14.905,0.364,3.0,5.691E-01,1,0,0000,BC,10,56808.55899155,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.121420,8.852898
324.6123747,25.3737804,0.2935,0.2626,-0.0671,14.896,0.088,12.3,5.118E-01,14.943,0.388,2.8,7.027E-01,1,0,0000,AC,10,56987.44299858,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.126030,16.237768
324.6125810,25.3737089,0.4075,0.3858,-0.1337,15.323,0.124,8.7,1.289E+00,14.786,0.381,2.9,6.273E-01,1,0,0000,BC,10,56986.98279852,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.129133,26.226865
