HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457721.72112,2016-11-29.2211239,ba,2.02,16.659,>16.659,99.990,0.438,0.166,V
2457721.73778,2016-11-29.2377796,bb,2.01,17.066,>17.066,99.990,0.290,0.114,V
2457721.73903,2016-11-29.2390351,bb,2.01,16.988,>16.988,99.990,0.351,0.123,V
2457721.74030,2016-11-29.2403002,bb,2.01,17.000,>17.000,99.990,0.598,0.122,V
2457846.13862,2017-04-02.6423655,ba,2.35,15.337,>15.337,99.990,0.431,0.563,V
2457846.13990,2017-04-02.6436497,ba,2.43,15.151,>15.151,99.990,-0.878,0.668,V
2457846.14121,2017-04-02.6449627,ba,2.45,14.988,>14.988,99.990,0.410,0.776,V
2457848.12665,2017-04-04.6303118,ba,1.73,16.259,>16.259,99.990,0.255,0.241,V
2457848.12792,2017-04-04.6315815,ba,1.74,16.417,>16.417,99.990,0.126,0.208,V
2457848.12919,2017-04-04.6328503,ba,1.72,16.390,>16.390,99.990,0.398,0.213,V
2457853.12392,2017-04-09.6273306,bb,1.68,16.144,>16.144,99.990,0.387,0.268,V
2457853.12521,2017-04-09.6286178,bb,1.81,16.072,>16.072,99.990,0.650,0.286,V
2457853.12648,2017-04-09.6298928,bb,1.84,16.157,>16.157,99.990,0.193,0.264,V
2457860.11256,2017-04-16.6155795,bb,1.99,16.281,>16.281,99.990,0.243,0.236,V
2457860.11383,2017-04-16.6168452,bb,1.83,16.128,>16.128,99.990,-0.076,0.271,V
2457860.11509,2017-04-16.6181087,bb,2.02,16.072,>16.072,99.990,-0.349,0.286,V
2457871.07442,2017-04-27.5767393,ba,1.73,16.455,>16.455,99.990,-0.129,0.201,V
2457871.07568,2017-04-27.5780054,ba,1.75,16.586,>16.586,99.990,0.185,0.178,V
2457877.05330,2017-05-03.5552017,ba,1.67,16.591,>16.591,99.990,0.139,0.177,V
2457877.05458,2017-05-03.5564819,ba,1.69,16.556,>16.556,99.990,0.282,0.183,V
2457877.05585,2017-05-03.5577527,ba,1.77,16.546,>16.546,99.990,0.307,0.185,V
2457877.07649,2017-05-03.5783921,bb,1.88,16.848,16.825,0.215,0.714,0.140,V
2457877.07776,2017-05-03.5796597,bb,1.75,16.803,>16.803,99.990,0.114,0.146,V
2457878.07317,2017-05-04.5750055,bb,1.76,16.695,>16.695,99.990,0.427,0.161,V
2457878.07445,2017-05-04.5762826,bb,1.71,16.826,>16.826,99.990,0.664,0.143,V
2457878.07572,2017-05-04.5775497,bb,1.73,16.921,>16.921,99.990,0.315,0.131,V
2457883.03778,2017-05-09.5392415,ba,1.69,15.560,>15.560,99.990,0.883,0.458,V
2457883.05976,2017-05-09.5612312,bb,1.75,15.872,>15.872,99.990,0.450,0.344,V
2457883.06117,2017-05-09.5626370,bb,1.99,16.022,>16.022,99.990,0.341,0.299,V
2457883.06243,2017-05-09.5638996,bb,1.78,15.753,>15.753,99.990,-0.549,0.383,V
2457885.03435,2017-05-11.5356671,ba,1.83,15.577,>15.577,99.990,0.254,0.451,V
2457885.03561,2017-05-11.5369315,ba,1.82,15.499,>15.499,99.990,-0.388,0.485,V
2457885.03689,2017-05-11.5382065,ba,1.83,15.518,>15.518,99.990,1.068,0.476,V
2457888.91187,2017-05-15.4128923,bf,1.49,16.102,>16.102,99.990,0.778,0.278,V
2457888.91314,2017-05-15.4141642,bf,1.50,16.053,>16.053,99.990,0.141,0.291,V
2457888.91441,2017-05-15.4154362,bf,1.55,15.940,>15.940,99.990,0.369,0.323,V
2457889.89912,2017-05-16.4000730,be,1.54,15.673,>15.673,99.990,0.118,0.413,V
2457889.90039,2017-05-16.4013422,be,1.47,15.676,>15.676,99.990,0.703,0.412,V
2457889.90165,2017-05-16.4026074,be,1.47,15.604,>15.604,99.990,-0.647,0.440,V
2457890.11669,2017-05-16.617625,bb,2.01,16.139,>16.139,99.990,0.389,0.269,V
2457890.11796,2017-05-16.6188976,bb,2.01,16.175,>16.175,99.990,0.763,0.260,V
2457890.11924,2017-05-16.6201684,bb,2.02,16.033,>16.033,99.990,0.702,0.296,V
2457894.08405,2017-05-20.5846805,bb,1.70,16.785,>16.785,99.990,0.438,0.148,V
2457894.08532,2017-05-20.5859437,bb,1.75,16.652,>16.652,99.990,0.429,0.168,V
2457894.10216,2017-05-20.6027893,ba,1.71,16.591,>16.591,99.990,0.142,0.177,V
2457894.10344,2017-05-20.6040611,ba,1.71,16.488,>16.488,99.990,0.536,0.195,V
2457894.10470,2017-05-20.6053262,ba,1.71,16.536,>16.536,99.990,0.583,0.187,V
2457895.04555,2017-05-21.5461034,bb,1.68,16.738,>16.738,99.990,0.447,0.155,V
2457895.04682,2017-05-21.5473721,bb,1.70,16.962,>16.962,99.990,0.451,0.126,V
2457895.04808,2017-05-21.5486377,bb,1.63,16.835,>16.835,99.990,0.369,0.142,V
2457899.05499,2017-05-25.5552261,ba,1.71,16.736,>16.736,99.990,0.184,0.155,V
2457899.05626,2017-05-25.5564983,ba,1.67,16.709,>16.709,99.990,0.455,0.159,V
2457899.05753,2017-05-25.5577657,ba,1.70,16.751,>16.751,99.990,0.218,0.153,V
2457900.06314,2017-05-26.5633045,bb,1.67,16.795,16.750,0.210,0.766,0.147,V
2457900.06441,2017-05-26.5645776,bb,1.64,16.912,>16.912,99.990,0.367,0.132,V
2457900.06568,2017-05-26.5658425,bb,1.71,16.944,>16.944,99.990,0.552,0.128,V
2457904.00461,2017-05-30.5044601,bb,2.03,16.629,>16.629,99.990,0.229,0.171,V
2457904.00588,2017-05-30.5057337,bb,2.03,16.810,>16.810,99.990,0.058,0.145,V
2457904.97800,2017-05-31.4777826,ba,1.68,16.546,>16.546,99.990,0.381,0.185,V
2457904.97927,2017-05-31.4790483,ba,1.65,16.700,>16.700,99.990,0.465,0.160,V
2457904.98055,2017-05-31.4803248,ba,1.64,16.762,>16.762,99.990,0.203,0.151,V
2457906.99440,2017-06-02.4940207,bb,1.66,16.413,>16.413,99.990,0.227,0.209,V
2457906.99567,2017-06-02.4952856,bb,1.80,16.713,>16.713,99.990,0.195,0.158,V
2457906.99693,2017-06-02.4965488,bb,1.69,16.517,>16.517,99.990,0.530,0.190,V
2457907.96766,2017-06-03.4671989,ba,1.65,16.083,>16.083,99.990,0.652,0.283,V
