HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458361.75044,2018-08-31.2457868,bq,1.48,16.476,>16.476,99.990,0.574,0.187,g
2458361.75166,2018-08-31.2470017,bq,1.49,16.493,>16.493,99.990,0.332,0.184,g
2458362.00691,2018-08-31.5022549,bb,2.12,16.534,>16.534,99.990,0.454,0.187,V
2458362.00819,2018-08-31.5035347,bb,2.14,16.348,>16.348,99.990,-0.105,0.222,V
2458362.00947,2018-08-31.5048098,bb,2.12,16.336,>16.336,99.990,0.084,0.224,V
2458362.40102,2018-08-31.8963707,bn,1.64,16.915,>16.915,99.990,0.241,0.124,g
2458362.40224,2018-08-31.8975883,bn,1.63,16.896,16.818,0.204,0.680,0.127,g
2458362.44410,2018-08-31.9394443,bm,1.54,16.435,>16.435,99.990,0.491,0.194,g
2458362.44530,2018-08-31.9406515,bm,1.57,16.301,>16.301,99.990,0.028,0.219,g
2458362.44652,2018-08-31.9418679,bm,1.53,16.479,>16.479,99.990,0.142,0.186,g
2458362.73395,2018-09-01.2292901,be,2.27,15.788,>15.788,99.990,0.296,0.371,V
2458362.73521,2018-09-01.2305590,be,2.32,16.064,>16.064,99.990,0.453,0.288,V
2458362.73647,2018-09-01.2318200,be,2.29,15.797,>15.797,99.990,0.142,0.368,V
2458362.73780,2018-09-01.2331418,bf,2.26,15.943,>15.943,99.990,0.765,0.322,V
2458362.73913,2018-09-01.2344731,bf,2.19,15.911,>15.911,99.990,-0.101,0.331,V
2458362.74037,2018-09-01.2357190,bf,2.22,16.079,>16.079,99.990,0.288,0.284,V
2458365.59442,2018-09-04.0897809,bi,1.53,17.268,>17.268,99.990,0.152,0.090,g
2458365.59563,2018-09-04.0910005,bi,1.52,17.045,>17.045,99.990,0.233,0.110,g
2458365.59686,2018-09-04.0922204,bi,1.55,17.068,>17.068,99.990,0.074,0.108,g
2458365.62819,2018-09-04.1235432,bj,1.65,17.152,>17.152,99.990,0.329,0.100,g
2458365.63062,2018-09-04.1259827,bj,1.68,17.098,>17.098,99.990,0.376,0.105,g
2458365.98605,2018-09-04.4814188,ba,1.59,16.544,>16.544,99.990,0.509,0.185,V
2458365.98733,2018-09-04.4826903,ba,1.61,16.496,>16.496,99.990,0.583,0.193,V
2458365.98860,2018-09-04.4839650,ba,1.69,16.621,>16.621,99.990,0.259,0.172,V
2458366.62304,2018-09-05.1184069,bf,1.46,16.831,>16.831,99.990,0.251,0.142,V
2458366.62432,2018-09-05.1196850,bf,1.42,16.861,>16.861,99.990,0.357,0.138,V
2458366.62559,2018-09-05.1209567,bf,1.42,16.902,>16.902,99.990,0.176,0.133,V
2458366.76991,2018-09-05.2652871,bq,1.47,16.889,>16.889,99.990,0.188,0.127,g
2458366.77114,2018-09-05.2665163,bq,1.45,16.992,>16.992,99.990,0.333,0.116,g
2458366.77237,2018-09-05.2677445,bq,1.46,17.131,>17.131,99.990,0.313,0.102,g
2458366.81266,2018-09-05.3080386,br,1.44,99.990,99.990,99.990,99.990,99.990,g
2458366.81389,2018-09-05.3092652,br,1.44,17.581,17.565,0.216,0.342,0.067,g
2458366.81513,2018-09-05.3105038,br,1.41,17.313,17.034,0.170,0.558,0.086,g
2458368.72755,2018-09-07.2229375,ba,1.57,15.287,>15.287,99.990,-0.100,0.589,V
2458368.72883,2018-09-07.2242140,ba,1.57,15.561,>15.561,99.990,0.080,0.457,V
2458368.73010,2018-09-07.2254899,ba,1.66,15.608,>15.608,99.990,0.680,0.438,V
2458369.63315,2018-09-08.1285469,bi,1.47,17.079,>17.079,99.990,0.335,0.107,g
2458369.63436,2018-09-08.1297561,bi,1.50,17.202,>17.202,99.990,0.056,0.096,g
2458369.63558,2018-09-08.1309773,bi,1.48,17.143,>17.143,99.990,0.344,0.101,g
2458369.65561,2018-09-08.1510037,bj,1.58,16.918,>16.918,99.990,0.334,0.124,g
2458369.65682,2018-09-08.1522173,bj,1.54,17.064,>17.064,99.990,0.378,0.109,g
2458369.65804,2018-09-08.1534359,bj,1.57,17.083,>17.083,99.990,0.388,0.107,g
2458369.83597,2018-09-08.3313690,bb,2.08,16.870,>16.870,99.990,0.432,0.137,V
2458369.83725,2018-09-08.3326478,bb,2.06,16.800,>16.800,99.990,0.658,0.146,V
2458369.83852,2018-09-08.3339201,bb,2.06,16.750,>16.750,99.990,0.750,0.153,V
2458370.72974,2018-09-09.2251478,bj,1.62,17.021,>17.021,99.990,0.279,0.113,g
2458370.73095,2018-09-09.2263677,bj,1.56,16.937,>16.937,99.990,0.416,0.122,g
2458370.73220,2018-09-09.2276057,bj,1.56,16.979,>16.979,99.990,0.549,0.117,g
2458371.92333,2018-09-10.4187648,ba,1.57,16.876,>16.876,99.990,0.060,0.136,V
2458371.92462,2018-09-10.4200502,ba,1.62,16.838,>16.838,99.990,0.340,0.141,V
2458371.92589,2018-09-10.4213224,ba,1.59,16.804,>16.804,99.990,0.282,0.146,V
2458372.96564,2018-09-11.4610859,bb,2.03,16.814,>16.814,99.990,0.434,0.144,V
2458372.96693,2018-09-11.4623692,bb,2.02,16.715,>16.715,99.990,0.250,0.158,V
2458372.96820,2018-09-11.4636443,bb,2.02,16.776,>16.776,99.990,0.381,0.149,V
2458373.82667,2018-09-12.3221327,bq,1.49,16.864,>16.864,99.990,0.533,0.130,g
2458373.82789,2018-09-12.3233491,bq,1.51,17.183,>17.183,99.990,0.366,0.097,g
2458373.82912,2018-09-12.3245780,bq,1.43,16.926,>16.926,99.990,0.464,0.123,g
2458375.58341,2018-09-14.0789048,bi,1.98,16.908,>16.908,99.990,0.318,0.125,g
2458375.58463,2018-09-14.0801224,bi,2.00,16.819,>16.819,99.990,0.342,0.136,g
2458375.58585,2018-09-14.0813409,bi,2.00,16.897,>16.897,99.990,0.210,0.127,g
2458375.60958,2018-09-14.1050740,bj,1.62,17.044,>17.044,99.990,0.336,0.111,g
2458375.61080,2018-09-14.1062924,bj,1.61,16.995,>16.995,99.990,0.451,0.116,g
2458375.61201,2018-09-14.1075107,bj,1.51,16.938,>16.938,99.990,0.365,0.122,g
2458376.59475,2018-09-15.0902569,bj,1.59,16.859,>16.859,99.990,0.162,0.131,g
2458376.59597,2018-09-15.0914804,bj,1.55,16.890,>16.890,99.990,0.298,0.127,g
2458376.59718,2018-09-15.0926969,bj,1.56,16.937,>16.937,99.990,0.074,0.122,g
2458376.60597,2018-09-15.1014879,bi,1.42,16.882,>16.882,99.990,0.445,0.128,g
2458376.60719,2018-09-15.1027090,bi,1.44,16.945,>16.945,99.990,0.437,0.121,g
2458376.60840,2018-09-15.1039229,bi,1.40,16.896,>16.896,99.990,0.365,0.127,g
2458377.38465,2018-09-15.8801811,bn,1.98,16.502,>16.502,99.990,0.248,0.182,g
2458377.38586,2018-09-15.8813905,bn,1.98,16.367,>16.367,99.990,0.202,0.206,g
2458377.38707,2018-09-15.8825943,bn,1.99,16.550,>16.550,99.990,0.497,0.174,g
2458377.64001,2018-09-16.1355473,bj,1.56,16.743,>16.743,99.990,0.134,0.146,g
2458377.64122,2018-09-16.1367586,bj,1.51,16.808,>16.808,99.990,0.428,0.137,g
2458377.64243,2018-09-16.1379759,bj,1.57,16.814,16.712,0.200,0.751,0.137,g
2458377.87707,2018-09-16.3726137,ba,1.62,16.535,>16.535,99.990,0.456,0.187,V
2458377.87835,2018-09-16.3738940,ba,1.60,16.788,>16.788,99.990,0.371,0.148,V
2458377.87963,2018-09-16.3751755,ba,1.61,16.479,>16.479,99.990,0.452,0.196,V
2458377.92311,2018-09-16.4186523,bb,2.03,16.902,>16.902,99.990,0.235,0.133,V
2458377.92439,2018-09-16.4199325,bb,2.02,16.851,>16.851,99.990,0.616,0.140,V
2458377.92566,2018-09-16.4212089,bb,2.04,16.835,>16.835,99.990,0.279,0.142,V
2458378.55492,2018-09-17.0504785,bi,2.02,16.619,>16.619,99.990,0.512,0.163,g
2458378.55614,2018-09-17.0516949,bi,2.00,16.529,>16.529,99.990,0.208,0.178,g
2458378.58857,2018-09-17.0841287,bf,1.46,16.336,>16.336,99.990,0.505,0.224,V
2458378.58984,2018-09-17.0853946,bf,1.46,16.456,>16.456,99.990,0.374,0.201,V
2458378.59111,2018-09-17.0866644,bf,1.49,16.353,>16.353,99.990,0.736,0.221,V
2458379.78220,2018-09-18.2777993,ba,1.57,16.199,>16.199,99.990,-0.129,0.254,V
2458379.78348,2018-09-18.2790740,ba,1.58,16.412,>16.412,99.990,0.389,0.209,V
2458379.78475,2018-09-18.2803489,ba,1.57,16.263,>16.263,99.990,0.886,0.240,V
2458379.93331,2018-09-18.4289015,bb,2.36,16.391,>16.391,99.990,0.176,0.213,V
2458379.93459,2018-09-18.4301872,bb,2.35,16.478,>16.478,99.990,0.177,0.197,V
2458379.93587,2018-09-18.4314651,bb,2.37,16.518,>16.518,99.990,0.212,0.190,V
2458380.65173,2018-09-19.1473396,bf,1.52,15.630,>15.630,99.990,0.183,0.429,V
2458380.65300,2018-09-19.1486144,bf,1.58,14.936,>14.936,99.990,0.752,0.814,V
2458382.59361,2018-09-21.0892765,bf,1.43,15.978,>15.978,99.990,0.051,0.312,V
2458382.59489,2018-09-21.0905484,bf,1.44,15.934,>15.934,99.990,0.112,0.325,V
2458382.59615,2018-09-21.0918085,bf,1.46,16.033,>16.033,99.990,0.900,0.296,V
2458382.68060,2018-09-21.1762688,be,1.44,15.656,>15.656,99.990,0.549,0.419,V
2458382.68186,2018-09-21.1775326,be,1.46,15.558,>15.558,99.990,-0.197,0.459,V
2458382.68313,2018-09-21.1787962,be,1.45,15.566,>15.566,99.990,1.023,0.455,V
2458383.63073,2018-09-22.1264320,bi,1.75,15.920,>15.920,99.990,0.198,0.311,g
2458383.63195,2018-09-22.1276437,bi,1.62,16.020,>16.020,99.990,-0.034,0.284,g
2458383.63317,2018-09-22.1288644,bi,1.73,15.813,>15.813,99.990,0.286,0.344,g
2458383.70430,2018-09-22.1999917,bf,1.46,15.672,>15.672,99.990,0.562,0.413,V
2458383.70557,2018-09-22.2012670,bf,1.45,15.724,>15.724,99.990,0.086,0.394,V
2458383.70684,2018-09-22.2025425,bf,1.49,15.568,>15.568,99.990,0.371,0.455,V
2458384.74554,2018-09-23.2412655,br,1.49,16.279,>16.279,99.990,0.220,0.224,g
2458384.74674,2018-09-23.2424806,br,1.44,16.201,>16.201,99.990,0.419,0.240,g
2458384.74797,2018-09-23.2437004,br,1.48,16.292,>16.292,99.990,0.435,0.221,g
2458384.83217,2018-09-23.3278979,bq,1.50,16.043,>16.043,99.990,0.066,0.278,g
2458384.83339,2018-09-23.3291214,bq,1.51,15.887,>15.887,99.990,-0.014,0.321,g
2458384.83461,2018-09-23.3303450,bq,1.50,15.719,>15.719,99.990,0.252,0.374,g
2458385.78225,2018-09-24.2780137,ba,1.54,15.455,>15.455,99.990,1.119,0.505,V
2458385.78353,2018-09-24.2792918,ba,1.61,15.557,>15.557,99.990,0.795,0.459,V
2458385.78481,2018-09-24.2805692,ba,1.61,15.497,>15.497,99.990,0.105,0.486,V
2458389.38038,2018-09-27.8762695,bn,1.57,16.216,>16.216,99.990,0.580,0.237,g
2458389.38164,2018-09-27.8775281,bn,1.62,16.111,>16.111,99.990,0.542,0.261,g
2458389.38303,2018-09-27.8789123,bn,1.56,16.184,>16.184,99.990,0.784,0.244,g
2458389.81189,2018-09-28.3077979,bq,1.48,16.119,>16.119,99.990,-0.222,0.259,g
2458389.81312,2018-09-28.3090260,bq,1.50,16.208,>16.208,99.990,-0.352,0.239,g
2458389.81432,2018-09-28.3102328,bq,1.50,16.178,>16.178,99.990,0.201,0.245,g
2458389.94222,2018-09-28.4381410,bb,1.68,15.589,>15.589,99.990,0.679,0.446,V
2458389.94351,2018-09-28.4394224,bb,2.01,15.223,>15.223,99.990,-1.029,0.625,V
2458389.94478,2018-09-28.4406951,bb,1.59,15.090,>15.090,99.990,1.429,0.706,V
2458390.31216,2018-09-28.8080910,bn,1.47,17.392,>17.392,99.990,0.345,0.080,g
2458390.31337,2018-09-28.8092959,bn,1.50,17.172,17.158,0.216,0.498,0.098,g
2458390.31458,2018-09-28.8105065,bn,1.50,17.350,>17.350,99.990,0.334,0.083,g
2458390.76287,2018-09-29.2588141,ba,1.56,16.753,>16.753,99.990,0.209,0.153,V
2458390.76414,2018-09-29.2600872,ba,1.63,16.758,>16.758,99.990,0.243,0.152,V
2458390.76542,2018-09-29.2613631,ba,1.56,16.751,>16.751,99.990,0.545,0.153,V
2458390.93007,2018-09-29.4260201,bb,2.15,16.194,>16.194,99.990,0.488,0.255,V
2458390.93135,2018-09-29.4272982,bb,2.15,16.215,>16.215,99.990,-0.032,0.250,V
2458390.93262,2018-09-29.4285737,bb,2.14,16.129,>16.129,99.990,0.543,0.271,V
2458391.59434,2018-09-30.0903130,bq,1.59,16.956,>16.956,99.990,0.384,0.120,g
2458391.59554,2018-09-30.0915223,bq,1.66,17.016,>17.016,99.990,0.252,0.113,g
2458391.59678,2018-09-30.0927505,bq,1.60,16.869,>16.869,99.990,0.365,0.130,g
2458391.81227,2018-09-30.3082488,bq,1.54,16.586,>16.586,99.990,-0.141,0.169,g
2458391.81348,2018-09-30.3094664,bq,1.51,16.462,>16.462,99.990,0.144,0.189,g
2458391.81470,2018-09-30.3106840,bq,1.52,16.556,>16.556,99.990,0.194,0.173,g
2458392.78087,2018-10-01.2768957,br,1.47,16.862,>16.862,99.990,0.064,0.131,g
2458392.78209,2018-10-01.2781155,br,1.44,16.758,>16.758,99.990,0.266,0.144,g
2458392.78332,2018-10-01.2793414,br,1.37,16.785,>16.785,99.990,0.434,0.140,g
2458392.90124,2018-10-01.3972660,ba,1.98,16.445,>16.445,99.990,0.116,0.203,V
2458392.90252,2018-10-01.3985459,ba,1.99,16.428,>16.428,99.990,0.452,0.206,V
2458392.90380,2018-10-01.3998318,ba,1.71,16.361,>16.361,99.990,0.545,0.219,V
2458393.90183,2018-10-02.3979013,ba,1.60,16.691,>16.691,99.990,0.324,0.162,V
2458393.90310,2018-10-02.3991736,ba,1.64,16.588,>16.588,99.990,0.430,0.178,V
2458393.90437,2018-10-02.4004369,ba,1.54,16.512,>16.512,99.990,0.443,0.191,V
2458393.93293,2018-10-02.4289953,bb,2.20,16.515,>16.515,99.990,0.481,0.190,V
2458393.93420,2018-10-02.4302693,bb,2.22,16.425,>16.425,99.990,0.152,0.207,V
2458393.93547,2018-10-02.4315430,bb,2.22,16.694,>16.694,99.990,0.180,0.161,V
2458394.55575,2018-10-03.0518446,bF,1.53,17.356,>17.356,99.990,0.341,0.083,g
2458394.55703,2018-10-03.0531287,bF,1.44,17.193,>17.193,99.990,0.422,0.096,g
2458394.55829,2018-10-03.0543916,bF,1.49,17.297,>17.297,99.990,0.297,0.088,g
2458394.73722,2018-10-03.2333273,br,1.47,17.367,17.282,0.203,0.444,0.082,g
2458394.73844,2018-10-03.2345449,br,1.50,17.242,17.099,0.192,0.525,0.092,g
2458394.73966,2018-10-03.2357651,br,1.51,17.541,17.514,0.214,0.359,0.070,g
2458395.63725,2018-10-04.1333956,bE,1.62,15.582,>15.582,99.990,0.252,0.425,g
2458395.63852,2018-10-04.1346640,bE,1.58,15.472,>15.472,99.990,0.443,0.470,g
2458395.63978,2018-10-04.1359280,bE,1.69,15.359,>15.359,99.990,-0.491,0.522,g
2458395.64963,2018-10-04.1457825,bj,1.59,16.046,>16.046,99.990,0.458,0.277,g
2458395.65085,2018-10-04.1469998,bj,1.58,16.101,>16.101,99.990,0.205,0.263,g
2458395.65206,2018-10-04.1482207,bj,1.62,15.620,>15.620,99.990,0.090,0.410,g
2458396.29308,2018-10-04.7892615,bn,1.54,99.990,99.990,99.990,99.990,99.990,g
2458396.29429,2018-10-04.7904636,bn,1.56,17.324,>17.324,99.990,0.412,0.085,g
2458396.29549,2018-10-04.7916728,bn,1.51,17.343,>17.343,99.990,0.236,0.084,g
2458396.55003,2018-10-05.0462201,bi,2.11,16.360,>16.360,99.990,0.490,0.208,g
2458396.55125,2018-10-05.0474413,bi,2.13,16.635,>16.635,99.990,0.402,0.161,g
2458396.55246,2018-10-05.0486613,bi,2.10,15.816,>15.816,99.990,0.495,0.343,g
2458396.65306,2018-10-05.1492521,bj,1.50,16.894,>16.894,99.990,0.404,0.127,g
2458396.65428,2018-10-05.1504755,bj,1.57,16.985,16.828,0.190,0.674,0.117,g
2458396.65550,2018-10-05.1516940,bj,1.55,16.956,>16.956,99.990,0.288,0.120,g
2458396.72361,2018-10-05.2198094,bq,1.45,17.057,17.017,0.211,0.567,0.109,g
2458396.72483,2018-10-05.2210260,bq,1.45,17.026,>17.026,99.990,0.463,0.112,g
2458396.72605,2018-10-05.2222447,bq,1.44,17.044,>17.044,99.990,0.402,0.110,g
2458396.91472,2018-10-05.4109258,bb,2.04,16.512,>16.512,99.990,0.604,0.191,V
2458396.91600,2018-10-05.4122045,bb,2.05,16.254,>16.254,99.990,0.682,0.242,V
2458396.91727,2018-10-05.4134805,bb,2.05,16.179,>16.179,99.990,0.798,0.259,V
2458397.58031,2018-10-06.0765527,bj,1.56,17.013,>17.013,99.990,0.499,0.114,g
2458397.58153,2018-10-06.0777714,bj,1.57,17.025,17.023,0.219,0.564,0.113,g
2458397.58275,2018-10-06.0789921,bj,1.55,17.105,>17.105,99.990,0.419,0.104,g
2458397.62385,2018-10-06.1200872,bE,2.06,16.765,>16.765,99.990,0.461,0.143,g
2458397.62512,2018-10-06.1213607,bE,2.06,16.747,16.600,0.192,0.832,0.145,g
2458397.62638,2018-10-06.1226221,bE,2.05,16.736,>16.736,99.990,0.340,0.147,g
2458398.49879,2018-10-06.9950723,bi,1.38,16.897,>16.897,99.990,0.285,0.127,g
2458398.50001,2018-10-06.9962851,bi,1.37,16.983,>16.983,99.990,0.448,0.117,g
2458398.50122,2018-10-06.9975004,bi,1.45,16.842,>16.842,99.990,0.362,0.133,g
2458398.64073,2018-10-07.1370116,bj,1.54,17.070,>17.070,99.990,0.376,0.108,g
2458398.64194,2018-10-07.1382228,bj,1.51,17.034,>17.034,99.990,0.179,0.112,g
2458398.64316,2018-10-07.1394424,bj,1.54,16.976,>16.976,99.990,0.460,0.118,g
2458398.69444,2018-10-07.1907280,bq,1.43,16.206,>16.206,99.990,0.338,0.239,g
2458398.69565,2018-10-07.1919414,bq,1.44,15.478,>15.478,99.990,-0.090,0.468,g
2458398.69686,2018-10-07.1931605,bq,1.48,15.283,>15.283,99.990,0.162,0.560,g
2458399.49182,2018-10-07.9881421,bi,1.62,15.800,>15.800,99.990,0.614,0.348,g
2458399.49305,2018-10-07.9893726,bi,1.58,15.732,>15.732,99.990,0.335,0.370,g
2458399.49426,2018-10-07.9905923,bi,1.69,16.013,>16.013,99.990,-0.154,0.286,g
2458401.25603,2018-10-09.7524464,bm,1.56,15.449,>15.449,99.990,0.283,0.480,g
2458401.25724,2018-10-09.7536509,bm,1.55,16.677,>16.677,99.990,0.206,0.155,g
2458401.25844,2018-10-09.7548565,bm,1.45,16.643,>16.643,99.990,0.415,0.160,g
2458401.73734,2018-10-10.2337781,br,1.54,17.254,>17.254,99.990,0.309,0.091,g
2458401.73857,2018-10-10.2350049,br,1.54,17.244,>17.244,99.990,0.449,0.092,g
2458401.73977,2018-10-10.2362216,br,1.61,17.349,17.213,0.194,0.473,0.083,g
2458401.87174,2018-10-10.3681925,ba,2.07,16.710,>16.710,99.990,0.451,0.159,V
2458401.87302,2018-10-10.3694672,ba,2.07,16.708,>16.708,99.990,0.039,0.159,V
2458401.87429,2018-10-10.3707396,ba,2.08,16.706,>16.706,99.990,0.117,0.159,V
2458402.28167,2018-10-10.7781376,bm,2.38,99.990,99.990,99.990,99.990,99.990,g
2458402.28289,2018-10-10.7793542,bm,2.37,99.990,99.990,99.990,99.990,99.990,g
2458402.28413,2018-10-10.7805940,bm,2.20,16.764,>16.764,99.990,0.354,0.143,g
2458402.34816,2018-10-10.8446394,bn,1.46,99.990,99.990,99.990,99.990,99.990,g
2458402.34937,2018-10-10.8458444,bn,1.48,17.122,16.837,0.169,0.669,0.103,g
2458402.35058,2018-10-10.8470517,bn,1.48,99.990,99.990,99.990,99.990,99.990,g
2458403.66159,2018-10-12.1581254,bj,1.56,15.525,>15.525,99.990,-0.295,0.448,g
2458403.66280,2018-10-12.1593436,bj,1.61,15.143,>15.143,99.990,0.319,0.637,g
2458403.66402,2018-10-12.1605594,bj,1.58,15.308,>15.308,99.990,-1.192,0.547,g
2458404.60600,2018-10-13.1025942,bi,1.37,16.943,>16.943,99.990,0.355,0.121,g
2458404.60722,2018-10-13.1038083,bi,1.39,17.001,>17.001,99.990,0.318,0.115,g
2458404.60843,2018-10-13.1050278,bi,1.34,16.999,>16.999,99.990,0.530,0.115,g
2458404.63260,2018-10-13.1291959,bF,2.06,16.965,>16.965,99.990,0.186,0.119,g
2458404.63388,2018-10-13.1304718,bF,2.08,16.930,>16.930,99.990,0.478,0.123,g
2458404.63514,2018-10-13.1317392,bF,2.09,17.062,>17.062,99.990,0.337,0.109,g
2458405.64941,2018-10-14.1460655,br,1.53,17.342,16.194,0.076,1.209,0.084,g
2458405.65063,2018-10-14.1472864,br,1.54,17.553,>17.553,99.990,0.308,0.069,g
2458405.65185,2018-10-14.1485015,br,1.50,99.990,99.990,99.990,99.990,99.990,g
2458406.60081,2018-10-15.0975125,bE,1.46,16.696,>16.696,99.990,0.760,0.152,g
2458406.60210,2018-10-15.0988064,bE,1.52,16.670,>16.670,99.990,0.721,0.156,g
2458406.60337,2018-10-15.1000790,bE,1.52,16.686,>16.686,99.990,0.186,0.154,g
2458406.63229,2018-10-15.1289967,bF,1.56,16.787,>16.787,99.990,0.330,0.140,g
2458406.63356,2018-10-15.1302726,bF,1.60,16.802,>16.802,99.990,0.195,0.138,g
2458406.63484,2018-10-15.1315510,bF,1.53,16.822,>16.822,99.990,0.053,0.136,g
2458407.32441,2018-10-15.8211578,bn,2.04,16.017,>16.017,99.990,0.380,0.285,g
2458407.32561,2018-10-15.8223637,bn,2.03,16.286,>16.286,99.990,0.495,0.222,g
2458407.32682,2018-10-15.8235695,bn,2.02,15.986,>15.986,99.990,0.490,0.293,g
2458407.60165,2018-10-16.0984134,bE,1.51,16.523,>16.523,99.990,0.263,0.179,g
2458407.60294,2018-10-16.0997005,bE,1.52,16.554,>16.554,99.990,0.589,0.174,g
2458407.60421,2018-10-16.1009728,bE,1.55,16.519,>16.519,99.990,0.028,0.179,g
2458407.62145,2018-10-16.1182140,bF,1.55,16.720,>16.720,99.990,0.361,0.149,g
2458407.62274,2018-10-16.1195013,bF,1.68,16.596,>16.596,99.990,0.543,0.167,g
2458407.62401,2018-10-16.1207770,bF,1.63,16.539,>16.539,99.990,0.773,0.176,g
2458408.27735,2018-10-16.7741511,bn,1.50,16.042,>16.042,99.990,0.426,0.278,g
2458408.27860,2018-10-16.7753932,bn,1.54,15.921,>15.921,99.990,0.086,0.311,g
2458408.27980,2018-10-16.7766002,bn,1.50,15.421,>15.421,99.990,0.587,0.493,g
2458408.54045,2018-10-17.0372640,bi,1.51,16.494,>16.494,99.990,0.226,0.184,g
2458408.54167,2018-10-17.0384873,bi,1.44,16.487,>16.487,99.990,0.530,0.185,g
2458408.54288,2018-10-17.0397038,bi,1.42,16.616,>16.616,99.990,0.639,0.164,g
2458408.72425,2018-10-17.221075,bb,2.06,16.570,>16.570,99.990,0.592,0.181,V
2458408.72552,2018-10-17.2223428,bb,2.05,16.708,>16.708,99.990,0.471,0.159,V
2458408.72681,2018-10-17.2236299,bb,2.05,16.673,>16.673,99.990,0.552,0.164,V
2458409.62103,2018-10-18.1179153,bF,2.09,16.128,>16.128,99.990,0.361,0.257,g
2458409.62230,2018-10-18.1191850,bF,2.07,16.211,>16.211,99.990,0.479,0.238,g
2458409.62358,2018-10-18.1204616,bF,2.08,16.160,>16.160,99.990,0.390,0.249,g
2458410.50445,2018-10-19.0013824,bi,1.48,16.285,>16.285,99.990,0.392,0.222,g
2458410.50567,2018-10-19.0025990,bi,1.52,16.375,>16.375,99.990,0.235,0.205,g
2458410.50688,2018-10-19.0038164,bi,1.50,16.357,>16.357,99.990,0.369,0.208,g
2458410.61747,2018-10-19.1144101,bF,1.64,16.304,>16.304,99.990,0.319,0.219,g
2458410.61874,2018-10-19.1156760,bF,1.55,16.218,>16.218,99.990,0.634,0.236,g
2458410.62001,2018-10-19.1169496,bF,1.59,16.296,>16.296,99.990,0.657,0.220,g
2458411.50486,2018-10-20.0018524,bi,1.63,16.186,>16.186,99.990,0.043,0.244,g
2458411.50608,2018-10-20.0030696,bi,1.59,16.040,>16.040,99.990,0.441,0.279,g
2458411.50730,2018-10-20.0042871,bi,1.61,16.173,>16.173,99.990,0.431,0.247,g
2458411.53680,2018-10-20.0337894,bF,1.62,16.267,>16.267,99.990,0.676,0.226,g
2458411.53807,2018-10-20.0350677,bF,1.60,16.125,>16.125,99.990,0.377,0.258,g
2458411.53934,2018-10-20.0363414,bF,1.61,16.120,>16.120,99.990,0.362,0.259,g
2458412.57244,2018-10-21.0694980,bj,1.60,15.922,>15.922,99.990,0.020,0.311,g
2458412.57366,2018-10-21.0707185,bj,1.51,16.065,>16.065,99.990,0.742,0.272,g
2458412.57488,2018-10-21.0719393,bj,1.58,16.057,>16.057,99.990,-0.508,0.274,g
2458414.56590,2018-10-23.0630856,bi,1.51,15.807,>15.807,99.990,-0.065,0.345,g
2458414.56711,2018-10-23.0643053,bi,1.55,15.736,>15.736,99.990,0.998,0.369,g
2458414.56833,2018-10-23.0655218,bi,1.46,15.820,>15.820,99.990,1.065,0.341,g
2458414.58093,2018-10-23.0781229,bj,1.57,15.779,>15.779,99.990,1.067,0.355,g
2458414.58215,2018-10-23.0793415,bj,1.56,15.713,>15.713,99.990,0.871,0.377,g
2458414.58338,2018-10-23.0805603,bj,1.59,15.727,>15.727,99.990,0.865,0.372,g
2458414.73041,2018-10-23.2276037,ba,2.31,15.549,>15.549,99.990,-0.121,0.463,V
2458414.73171,2018-10-23.2288998,ba,2.32,15.522,>15.522,99.990,-0.026,0.474,V
2458415.60775,2018-10-24.1049981,bj,2.04,15.367,>15.367,99.990,1.360,0.518,g
2458415.60897,2018-10-24.1062177,bj,2.11,15.325,>15.325,99.990,0.495,0.538,g
2458416.55202,2018-10-25.0493237,bi,1.44,15.816,>15.816,99.990,0.813,0.342,g
2458416.55323,2018-10-25.0505457,bi,1.49,15.961,>15.961,99.990,0.878,0.300,g
2458416.55445,2018-10-25.0517621,bi,1.47,15.784,>15.784,99.990,1.048,0.353,g
2458416.60099,2018-10-25.0983067,bF,2.14,15.691,>15.691,99.990,0.530,0.384,g
2458416.60227,2018-10-25.0995868,bF,2.14,15.700,>15.700,99.990,1.016,0.381,g
2458416.60355,2018-10-25.1008613,bF,2.09,15.850,>15.850,99.990,0.793,0.332,g
2458416.72014,2018-10-25.2174599,ba,2.36,15.792,>15.792,99.990,0.870,0.370,V
2458416.72141,2018-10-25.2187349,ba,2.32,15.713,>15.713,99.990,-0.254,0.398,V
2458416.72269,2018-10-25.2200115,ba,2.33,15.710,>15.710,99.990,0.311,0.399,V
2458416.85309,2018-10-25.3504196,bb,1.98,15.970,>15.970,99.990,0.070,0.314,V
2458416.85438,2018-10-25.3517140,bb,1.97,15.863,>15.863,99.990,0.628,0.347,V
2458416.85566,2018-10-25.3529906,bb,1.99,15.882,>15.882,99.990,0.900,0.341,V
2458417.25984,2018-10-25.7571972,bn,2.33,16.175,>16.175,99.990,0.448,0.246,g
2458417.26105,2018-10-25.7584151,bn,2.29,16.342,>16.342,99.990,-0.094,0.211,g
2458417.26225,2018-10-25.7596149,bn,2.28,16.132,>16.132,99.990,-0.128,0.256,g
2458417.55981,2018-10-26.0571925,bi,1.67,15.973,>15.973,99.990,-0.091,0.296,g
